,Position_two_wks,Track Name,Artist_two_wks,Streams_two_wks,URL_two_wks,Position_one_wk,Artist_one_wk,Streams_one_wk,URL_one_wk
183,,Watermelon Sugar,,,,21,Harry Styles,13067797,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
184,,Mean It,,,,27,Lauv,12015729,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
185,,Lover (Remix) [feat. Shawn Mendes],,,,33,Taylor Swift,11458619,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0
186,,Up All Night,,,,51,Khalid,8804919,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
187,,Falling,,,,64,Trevor Daniel,7610731,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
188,,Tongue Tied (with YUNGBLUD & blackbear),,,,72,Marshmello,7250495,https://open.spotify.com/track/7jzldCBnJjpJM3epzJ85KE
189,,Jerry Sprunger (with T-Pain),,,,85,Tory Lanez,6740180,https://open.spotify.com/track/6JsHgIkMYHcbNtKfsal2Mg
190,,Reply (feat. Lil Uzi Vert),,,,86,A Boogie Wit da Hoodie,6725748,https://open.spotify.com/track/364spZLB5bhNlnPrzvUB41
191,,Living Proof,,,,101,Camila Cabello,6163667,https://open.spotify.com/track/1jg9clsGCDqOumfS0X5xm9
192,,Hola - Remix,,,,142,Dalex,5239407,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
193,,Santa Tell Me,,,,152,Ariana Grande,5121609,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
194,,Blanco,,,,157,J Balvin,4959133,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
195,,Ayy Macarena,,,,159,Tyga,4859062,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
196,,fuck 3x,,,,164,tha Supreme,4777307,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
197,,all the good girls go to hell,,,,188,Billie Eilish,4531067,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
198,,i love you,,,,196,Billie Eilish,4426820,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
199,,Gan-Ga - Remix,,,,197,Bryant Myers,4409061,https://open.spotify.com/track/27qRmG3zOWPvMYUkpPdQ1g
182,,Takeaway,,,,44,The Chainsmokers,9000571,https://open.spotify.com/track/63VyEdzMM3w4ZQ1WtARa2S
183,,Yellow Hearts,,,,49,Ant Saunders,8879641,https://open.spotify.com/track/20JtELGPfOAMq7FpUt8eSM
184,,Woah,,,,56,Lil Baby,8003940,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
185,,blun7 a swishland,,,,63,tha Supreme,7426611,https://open.spotify.com/track/0oR0Wr9N52K1vbAOuGvMJz
186,,Tusa,,,,67,KAROL G,7210300,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
187,,Candy,,,,90,Doja Cat,6373833,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
188,,everything i wanted,,,,102,Billie Eilish,6039402,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
189,,GIANTS,,,,132,True Damage,5316124,https://open.spotify.com/track/5C0ivQMxes2lWuOANhvVAm
190,,Push My Luck,,,,135,The Chainsmokers,5256517,https://open.spotify.com/track/2a3dopgTF1q4rMVDJ1rwBU
191,,If The World Was Ending (feat. Julia Michaels),,,,156,JP Saxe,4810030,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
192,,Last Christmas,,,,162,Wham!,4795477,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
193,,Hasta Que Salga el Sol,,,,182,Ozuna,4580982,https://open.spotify.com/track/6ofuqm2qLMi9lBFEF9mJMb
194,,Turn Me On (feat. Vula),,,,184,Riton,4569957,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
195,,Pa' Olvidarme De Ella,,,,190,Piso 21,4510125,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
196,,Can We Kiss Forever?,,,,192,Kina,4508738,https://open.spotify.com/track/1Av69kr9JitqPWo7WJLS5q
197,,Juicy,,,,194,Doja Cat,4491291,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp
198,,ME! (feat. Brendon Urie of Panic! At The Disco),,,,195,Taylor Swift,4469545,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
199,,Wonderwall - Remastered,,,,199,Oasis,4422228,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
183,,Don't Start Now,,,,5,Dua Lipa,27510048,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
184,,Hot (Remix) [feat. Gunna and Travis Scott],,,,33,Young Thug,11338485,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
185,,Bad To You (with Normani & Nicki Minaj),,,,37,Ariana Grande,10653590,https://open.spotify.com/track/7vJS1DPc3FzBtqBs8n3mW5
186,,Whine Up,,,,52,Nicky Jam,8521509,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
187,,Immortal,,,,62,21 Savage,7793151,https://open.spotify.com/track/4IO8X9W69dIQe0EC5ALXhq
188,,KARMA,,,,89,Nimo,6540026,https://open.spotify.com/track/6oX9RuILbVIglevEhbg8iM
189,,Used To Love (with Dean Lewis),,,,105,Martin Garrix,6117970,https://open.spotify.com/track/7pWK1kMgHy5lNNiIfuRbkP
190,,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),,,,127,Marracash,5668196,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
191,,All I Want for Christmas Is You,,,,157,Mariah Carey,5005576,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
192,,Somebody,,,,161,Internet Money,4916477,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi
193,,Hot Shower,,,,163,Chance the Rapper,4856566,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf
194,,Bellaquita,,,,166,Dalex,4838576,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
195,,Love Me More,,,,168,Trippie Redd,4824038,https://open.spotify.com/track/2NSWi83peog6gHerzlMCqU
196,,In My Room,,,,184,Frank Ocean,4627576,https://open.spotify.com/track/4S4Mfvv03M1cHgIOJcbUCL
197,,Atrévete,,,,191,Nicky Jam,4580309,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj
198,,Photograph,,,,195,Ed Sheeran,4543730,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
199,,Murder On My Mind,,,,199,YNW Melly,4490995,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
175,,Follow God,,,,4,Kanye West,31273064,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
176,,Look At Her Now,,,,9,Selena Gomez,21790923,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
177,,Closed On Sunday,,,,12,Kanye West,17782756,https://open.spotify.com/track/3JWiDGQX2eTlFvKj3Yssj3
178,,On God,,,,14,Kanye West,17704688,https://open.spotify.com/track/2SasoXZyv82yYgHiVOvxQn
179,,Selah,,,,16,Kanye West,17475888,https://open.spotify.com/track/39JRmdKFka1Oe09FoOCPI4
180,,Everything We Need,,,,23,Kanye West,16438027,https://open.spotify.com/track/24bnCCysWnbNRNUT4LpHcP
181,,Use This Gospel,,,,25,Kanye West,14843190,https://open.spotify.com/track/0oPOuDmmkVp3h6puekhs6P
182,,Every Hour,,,,31,Kanye West,12900186,https://open.spotify.com/track/1WnqWQcWcuQbVzgE7ecfCY
183,,God Is,,,,34,Kanye West,12735722,https://open.spotify.com/track/6xRWoYwfwIKnT8bQGzKbxR
184,,Water,,,,35,Kanye West,12604488,https://open.spotify.com/track/454Epa1vrCGFddHXKyC1kb
185,,Good as Hell (feat. Ariana Grande) - Remix,,,,36,Lizzo,12495965,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
186,,Hands On,,,,43,Kanye West,11183853,https://open.spotify.com/track/7r6aR2f57resC5r93LwMfK
187,,Trigger,,,,50,Major Lazer,10005477,https://open.spotify.com/track/0Z26mbSHJ1dkUu7g9DDgif
188,,Orphans,,,,52,Coldplay,9468798,https://open.spotify.com/track/6muOWhMh7Tf0UFUtMDBhUR
189,,Jesus Is Lord,,,,56,Kanye West,9345667,https://open.spotify.com/track/7sBgFMWqDWQgrsNSpIBoe8
190,,Aventura,,,,111,Lunay,6381702,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
191,,Alocao (With Bad Gyal),,,,132,Omar Montes,5743134,https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
192,,ROXANNE,,,,138,Arizona Zervas,5686852,https://open.spotify.com/track/1ZPWWSwCkxKfqdp4H0RFCo
193,,MAMACITA,,,,157,Tyga,5120047,https://open.spotify.com/track/51wFQM8W0YfXTmHusXUr5i
194,,Playing Games (with Bryson Tiller) - Extended Version,,,,172,Summer Walker,4912136,https://open.spotify.com/track/2xyx0o4xNOLLjBSbOOdcbA
195,,Doch in der Nacht,,,,180,Apache 207,4842757,https://open.spotify.com/track/3uhTOxvu2h2YEm0uPNF2vi
196,,Cuerpo en Venta,,,,185,Noriel,4772708,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
197,,July,,,,192,Noah Cyrus,4683980,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
198,,Back To You - From 13 Reasons Why – Season 2 Soundtrack,,,,193,Selena Gomez,4679222,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
199,,Highway to Hell,,,,194,AC/DC,4660169,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
187,,Lose You To Love Me,,,,16,Selena Gomez,16252477,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
188,,Make It Right (feat. Lauv),,,,40,BTS,10119927,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
189,,Harleys In Hawaii,,,,47,Katy Perry,9504515,https://open.spotify.com/track/5nCthAh3jt4xKuLJAifAaR
190,,Wieso tust Du dir das an?,,,,52,Apache 207,9013009,https://open.spotify.com/track/4zj2FEHN6Hw6a5vqN70PvL
191,,Lose Control,,,,94,MEDUZA,6675886,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
192,,Hate Me (with Juice WRLD),,,,95,Ellie Goulding,6659485,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
193,,Keine Liebe,,,,108,RIN,6134821,https://open.spotify.com/track/41wZE5FpxbPaZqXtlmBhPG
194,,Que Tire Pa Lante,,,,111,Daddy Yankee,6085793,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
195,,Be Honest,,,,124,Jorja Smith,5647121,https://open.spotify.com/track/3IWs9dAwTqN0EFhOIcBDfs
196,,DHL,,,,129,Frank Ocean,5531463,https://open.spotify.com/track/2INhKpUdzh7v0j041gZNsz
197,,I Wanna Rock (feat. Gunna),,,,132,G-Eazy,5463248,https://open.spotify.com/track/5bzaS5tAni5oUpW7bWVdtY
198,,Murder On My Mind,,,,179,YNW Melly,4591688,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
199,,Somebody,,,,183,Internet Money,4539947,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi
200,,Surtada - Remix Brega Funk,,,,196,Dadá Boladão,4354855,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
189,,Lights Up,,,,5,Harry Styles,26362706,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
190,,Quizas,,,,52,Rich Music LTD,8424275,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
191,,Easy,,,,83,Camila Cabello,6977358,https://open.spotify.com/track/46D0hYb1B7qiU33VtXt21W
192,,Wir sind Kral,,,,151,Ufo361,5060101,https://open.spotify.com/track/44Fc0oSgRn1MFwu18TcY8S
