,Track_ID,Track_Name,Artist_Name,Artist_ID,Artist_followers,Artist_genres,Artist_popularity
0,1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,5400103,"['dance pop', 'pop', 'post-teen pop']",88
1,3GRSqlALWISqLeNncZMbpX,Mean It,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1959296,['pop'],90
2,3i9UVldZOE0aD0JnyfAZZ0,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
3,1mpD5Q8IM32I4bF6eCpU74,Up All Night,Khalid,6LuN9FCkKOj5PcnpouEgny,9452107,"['alternative r&b', 'pop']",96
4,4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,72334,"['alternative r&b', 'melodic rap']",80
5,7jzldCBnJjpJM3epzJ85KE,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,64KEffDW9EtZ1y2vBYgq8T,18720303,"['brostep', 'progressive electro house']",90
6,6JsHgIkMYHcbNtKfsal2Mg,Jerry Sprunger (with T-Pain),Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,2613851,"['canadian hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap']",88
7,364spZLB5bhNlnPrzvUB41,Reply (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,3698466,"['melodic rap', 'pop rap', 'rap', 'trap']",91
8,1jg9clsGCDqOumfS0X5xm9,Living Proof,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,13281202,"['dance pop', 'pop', 'post-teen pop']",94
9,5stPVcRqb4qixbafP9e8lt,Hola - Remix,Dalex,0KPX4Ucy9dk82uj4GpKesn,649409,"['latin', 'r&b en espanol']",91
10,0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,38897364,"['dance pop', 'pop', 'post-teen pop']",96
11,2rc7BkzO8qepMFAxHtOrXc,Blanco,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,16475449,"['latin', 'reggaeton']",99
12,6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,5LHRHt1k9lMyONurDHEdrp,5220379,"['hip hop', 'pop rap', 'rap', 'trap']",91
13,5YxP1CkunbhUQVvctFOHa7,fuck 3x,tha Supreme,19i93sA0D7yS9dYoVNBqAA,390555,['trap italiana'],87
14,6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,16487066,"['electropop', 'pop']",97
15,4bDPr2VAjcfgUDmN9dGOC3,Why I Love You,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,4934209,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",83
16,27qRmG3zOWPvMYUkpPdQ1g,Gan-Ga - Remix,Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,3062002,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",82
17,63VyEdzMM3w4ZQ1WtARa2S,Takeaway,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,14625745,"['electropop', 'pop', 'tropical house']",90
18,2W4yABdLc4Jnds67Poi5Nl,Yellow Hearts,Ant Saunders,4jpsw9CQS439N0B7SecMgf,14173,['pop'],76
19,598yNsG1JFrGd4n2kMoz7F,Woah,Lil Baby,5f7VJjfbwm532GiveGC0ZK,3014831,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",92
20,0oR0Wr9N52K1vbAOuGvMJz,blun7 a swishland,tha Supreme,19i93sA0D7yS9dYoVNBqAA,390555,['trap italiana'],87
21,7k4t7uLgtOxPwTpFmtJNTY,Tusa,KAROL G,790FomKkXshlbRYZFtlgla,7288619,"['latin', 'reggaeton']",89
22,1VJwtWR6z7SpZRwipI12be,Candy,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,639331,"['la indie', 'pop', 'pop rap']",84
23,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,16487066,"['electropop', 'pop']",97
24,5C0ivQMxes2lWuOANhvVAm,GIANTS,True Damage,7xX15v6ahAkcT14kHfB9wB,20500,[],70
25,2a3dopgTF1q4rMVDJ1rwBU,Push My Luck,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,14625745,"['electropop', 'pop', 'tropical house']",90
26,2kJwzbxV2ppxnQoYw4GLBZ,If The World Was Ending (feat. Julia Michaels),JP Saxe,66W9LaWS0DPdL7Sz8iYGYe,28810,"['canadian contemporary r&b', 'electropop', 'pop']",74
27,6wn2nmFn3wDuiMldRiuRuL,Last Christmas - Remastered,Wham!,5lpH0xAS4fVfLkACg9DAuM,997150,"['dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",79
28,0dDboLfmRNsTBscy4j3Rnl,Hasta Que Salga el Sol,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,20329848,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",98
29,0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),Riton,7i9j813KFoSBMldGqlh2Z1,42658,"['house', 'uk dance']",75
30,1cVlW9WQiGlFdWUXFdFZGh,Pa' Olvidarme De Ella,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,4576588,"['colombian pop', 'latin', 'reggaeton']",84
31,1Av69kr9JitqPWo7WJLS5q,Can We Kiss Forever?,Kina,4qIVPF0s71ZYW3qzhu5GkF,213522,['pop'],80
32,7qvsl2pYzrsYgPeFBN5jxp,Juicy,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,639331,"['la indie', 'pop', 'pop rap']",84
33,2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
34,5wj4E6IsrVtn8IBJQOd0Cl,Wonderwall - Remastered,Oasis,2DaxqgrOhkeH0fpeiQq2f4,4642531,"['britpop', 'madchester', 'modern rock', 'permanent wave', 'rock']",82
35,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,14343834,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",91
