,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,0.816,1e9oZCCiX42nJl0AcqriVo,spotify:track:1e9oZCCiX42nJl0AcqriVo,https://api.spotify.com/v1/tracks/1e9oZCCiX42nJl0AcqriVo,https://api.spotify.com/v1/audio-analysis/1e9oZCCiX42nJl0AcqriVo,174000,4
1,0.746,0.45,7,-8.543,1,0.0872,0.0407,0.0,0.172,0.336,95.998,0.45,3GRSqlALWISqLeNncZMbpX,spotify:track:3GRSqlALWISqLeNncZMbpX,https://api.spotify.com/v1/tracks/3GRSqlALWISqLeNncZMbpX,https://api.spotify.com/v1/audio-analysis/3GRSqlALWISqLeNncZMbpX,232853,4
2,0.448,0.603,7,-7.176,1,0.064,0.433,0.0,0.0862,0.422,205.272,0.603,3i9UVldZOE0aD0JnyfAZZ0,spotify:track:3i9UVldZOE0aD0JnyfAZZ0,https://api.spotify.com/v1/tracks/3i9UVldZOE0aD0JnyfAZZ0,https://api.spotify.com/v1/audio-analysis/3i9UVldZOE0aD0JnyfAZZ0,221307,3
3,0.665,0.712,1,-7.536,1,0.0527,0.00103,0.00342,0.102,0.669,93.989,0.712,1mpD5Q8IM32I4bF6eCpU74,spotify:track:1mpD5Q8IM32I4bF6eCpU74,https://api.spotify.com/v1/tracks/1mpD5Q8IM32I4bF6eCpU74,https://api.spotify.com/v1/audio-analysis/1mpD5Q8IM32I4bF6eCpU74,157220,4
4,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,0.43,4TnjEaWOeW0eKTKIEvJyCa,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/tracks/4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/audio-analysis/4TnjEaWOeW0eKTKIEvJyCa,159382,4
5,0.628,0.821,1,-2.721,0,0.0525,0.0208,0.0,0.426,0.465,93.001,0.821,7jzldCBnJjpJM3epzJ85KE,spotify:track:7jzldCBnJjpJM3epzJ85KE,https://api.spotify.com/v1/tracks/7jzldCBnJjpJM3epzJ85KE,https://api.spotify.com/v1/audio-analysis/7jzldCBnJjpJM3epzJ85KE,186024,4
6,0.76,0.746,0,-5.331,0,0.227,0.137,0.0,0.0905,0.449,100.011,0.746,6JsHgIkMYHcbNtKfsal2Mg,spotify:track:6JsHgIkMYHcbNtKfsal2Mg,https://api.spotify.com/v1/tracks/6JsHgIkMYHcbNtKfsal2Mg,https://api.spotify.com/v1/audio-analysis/6JsHgIkMYHcbNtKfsal2Mg,233546,4
7,0.512,0.623,9,-6.553,0,0.0808,0.0187,0.0,0.13,0.219,112.15,0.623,364spZLB5bhNlnPrzvUB41,spotify:track:364spZLB5bhNlnPrzvUB41,https://api.spotify.com/v1/tracks/364spZLB5bhNlnPrzvUB41,https://api.spotify.com/v1/audio-analysis/364spZLB5bhNlnPrzvUB41,183589,5
8,0.735,0.514,7,-5.464,1,0.082,0.109,0.0,0.359,0.517,77.566,0.514,1jg9clsGCDqOumfS0X5xm9,spotify:track:1jg9clsGCDqOumfS0X5xm9,https://api.spotify.com/v1/tracks/1jg9clsGCDqOumfS0X5xm9,https://api.spotify.com/v1/audio-analysis/1jg9clsGCDqOumfS0X5xm9,194440,4
9,0.654,0.672,0,-5.98,0,0.311,0.471,0.0,0.0781,0.343,181.857,0.672,5stPVcRqb4qixbafP9e8lt,spotify:track:5stPVcRqb4qixbafP9e8lt,https://api.spotify.com/v1/tracks/5stPVcRqb4qixbafP9e8lt,https://api.spotify.com/v1/audio-analysis/5stPVcRqb4qixbafP9e8lt,249520,4
