,Track_ID,Track_Name,Artist_Name,Artist_ID,Artist_followers,Artist_genres,Artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Unnamed: 0,Position_two_wks,Track Name,Artist_two_wks,Streams_two_wks,URL_two_wks,Position_one_wk,Artist_one_wk,Streams_one_wk,URL_one_wk,neg_lyric_score,neu_lyric_score,pos_lyric_score,com_lyric_score,neg_twitter_artist_score,neu_twitter_artist_score,pos_twitter_artist_score,com_twitter_artist_score
0,1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,Harry Styles,6KImCVD70vtIoJWnq6nGn3,5400103,"['dance pop', 'pop', 'post-teen pop']",88,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,0.816,1e9oZCCiX42nJl0AcqriVo,spotify:track:1e9oZCCiX42nJl0AcqriVo,https://api.spotify.com/v1/tracks/1e9oZCCiX42nJl0AcqriVo,https://api.spotify.com/v1/audio-analysis/1e9oZCCiX42nJl0AcqriVo,174000,4,183,,Watermelon Sugar,,,,21,Harry Styles,13067797,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo,0,0,0,0,0,0,0,0
1,3GRSqlALWISqLeNncZMbpX,Mean It,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1959296,['pop'],90,0.746,0.45,7,-8.543,1,0.0872,0.0407,0.0,0.172,0.336,95.998,0.45,3GRSqlALWISqLeNncZMbpX,spotify:track:3GRSqlALWISqLeNncZMbpX,https://api.spotify.com/v1/tracks/3GRSqlALWISqLeNncZMbpX,https://api.spotify.com/v1/audio-analysis/3GRSqlALWISqLeNncZMbpX,232853,4,184,,Mean It,,,,27,Lauv,12015729,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,0,0,0,0,0,0,0,0
2,3i9UVldZOE0aD0JnyfAZZ0,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95,0.448,0.603,7,-7.176,1,0.064,0.433,0.0,0.0862,0.422,205.272,0.603,3i9UVldZOE0aD0JnyfAZZ0,spotify:track:3i9UVldZOE0aD0JnyfAZZ0,https://api.spotify.com/v1/tracks/3i9UVldZOE0aD0JnyfAZZ0,https://api.spotify.com/v1/audio-analysis/3i9UVldZOE0aD0JnyfAZZ0,221307,3,185,,Lover (Remix) [feat. Shawn Mendes],,,,33,Taylor Swift,11458619,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,0,0,0,0,0,0,0,0
3,1mpD5Q8IM32I4bF6eCpU74,Up All Night,Khalid,6LuN9FCkKOj5PcnpouEgny,9452107,"['alternative r&b', 'pop']",96,0.665,0.712,1,-7.536,1,0.0527,0.00103,0.00342,0.102,0.669,93.989,0.712,1mpD5Q8IM32I4bF6eCpU74,spotify:track:1mpD5Q8IM32I4bF6eCpU74,https://api.spotify.com/v1/tracks/1mpD5Q8IM32I4bF6eCpU74,https://api.spotify.com/v1/audio-analysis/1mpD5Q8IM32I4bF6eCpU74,157220,4,186,,Up All Night,,,,51,Khalid,8804919,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,0,0,0,0,0,0,0,0
4,4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,72334,"['alternative r&b', 'melodic rap']",80,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,0.43,4TnjEaWOeW0eKTKIEvJyCa,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/tracks/4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/audio-analysis/4TnjEaWOeW0eKTKIEvJyCa,159382,4,187,,Falling,,,,64,Trevor Daniel,7610731,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,0,0,0,0,0,0,0,0
5,7jzldCBnJjpJM3epzJ85KE,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,64KEffDW9EtZ1y2vBYgq8T,18720303,"['brostep', 'progressive electro house']",90,0.628,0.821,1,-2.721,0,0.0525,0.0208,0.0,0.426,0.465,93.001,0.821,7jzldCBnJjpJM3epzJ85KE,spotify:track:7jzldCBnJjpJM3epzJ85KE,https://api.spotify.com/v1/tracks/7jzldCBnJjpJM3epzJ85KE,https://api.spotify.com/v1/audio-analysis/7jzldCBnJjpJM3epzJ85KE,186024,4,188,,Tongue Tied (with YUNGBLUD & blackbear),,,,72,Marshmello,7250495,https://open.spotify.com/track/7jzldCBnJjpJM3epzJ85KE,0,0,0,0,0,0,0,0
6,6JsHgIkMYHcbNtKfsal2Mg,Jerry Sprunger (with T-Pain),Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,2613851,"['canadian hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap']",88,0.76,0.746,0,-5.331,0,0.227,0.137,0.0,0.0905,0.449,100.011,0.746,6JsHgIkMYHcbNtKfsal2Mg,spotify:track:6JsHgIkMYHcbNtKfsal2Mg,https://api.spotify.com/v1/tracks/6JsHgIkMYHcbNtKfsal2Mg,https://api.spotify.com/v1/audio-analysis/6JsHgIkMYHcbNtKfsal2Mg,233546,4,189,,Jerry Sprunger (with T-Pain),,,,85,Tory Lanez,6740180,https://open.spotify.com/track/6JsHgIkMYHcbNtKfsal2Mg,0,0,0,0,0,0,0,0
7,364spZLB5bhNlnPrzvUB41,Reply (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,3698466,"['melodic rap', 'pop rap', 'rap', 'trap']",91,0.512,0.623,9,-6.553,0,0.0808,0.0187,0.0,0.13,0.219,112.15,0.623,364spZLB5bhNlnPrzvUB41,spotify:track:364spZLB5bhNlnPrzvUB41,https://api.spotify.com/v1/tracks/364spZLB5bhNlnPrzvUB41,https://api.spotify.com/v1/audio-analysis/364spZLB5bhNlnPrzvUB41,183589,5,190,,Reply (feat. Lil Uzi Vert),,,,86,A Boogie Wit da Hoodie,6725748,https://open.spotify.com/track/364spZLB5bhNlnPrzvUB41,0,0,0,0,0,0,0,0
8,1jg9clsGCDqOumfS0X5xm9,Living Proof,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,13281202,"['dance pop', 'pop', 'post-teen pop']",94,0.735,0.514,7,-5.464,1,0.082,0.109,0.0,0.359,0.517,77.566,0.514,1jg9clsGCDqOumfS0X5xm9,spotify:track:1jg9clsGCDqOumfS0X5xm9,https://api.spotify.com/v1/tracks/1jg9clsGCDqOumfS0X5xm9,https://api.spotify.com/v1/audio-analysis/1jg9clsGCDqOumfS0X5xm9,194440,4,191,,Living Proof,,,,101,Camila Cabello,6163667,https://open.spotify.com/track/1jg9clsGCDqOumfS0X5xm9,0,0,0,0,0,0,0,0
9,5stPVcRqb4qixbafP9e8lt,Hola - Remix,Dalex,0KPX4Ucy9dk82uj4GpKesn,649409,"['latin', 'r&b en espanol']",91,0.654,0.672,0,-5.98,0,0.311,0.471,0.0,0.0781,0.343,181.857,0.672,5stPVcRqb4qixbafP9e8lt,spotify:track:5stPVcRqb4qixbafP9e8lt,https://api.spotify.com/v1/tracks/5stPVcRqb4qixbafP9e8lt,https://api.spotify.com/v1/audio-analysis/5stPVcRqb4qixbafP9e8lt,249520,4,192,,Hola - Remix,,,,142,Dalex,5239407,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,0,0,0,0,0,0,0,0
