,Track_Name,Artist_Name,lyric_url,Track_ID,lyric,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type_,id_,uri,track_href,analysis_url,duration_ms,time_signature,Position_two_wks,Artist_two_wks,Streams_two_wks,URL_two_wks,Position_one_wk,Artist_one_wk,Streams_one_wk,URL_one_wk,neg_lyric_score,neu_lyric_score,pos_lyric_score,com_lyric_score,neg_twitter_artist_score,neu_twitter_artist_score,pos_twitter_artist_score,com_twitter_artist_score,Artist_ID,Artist_followers,Artist_genres,Artist_popularity
0,Watermelon Sugar,Harry Styles,https://genius.com/Harry-styles-watermelon-sugar-lyrics,1e9oZCCiX42nJl0AcqriVo,"

[Verse 1]
Tastes like strawberries on a summer evenin'
And it sounds just like a song
I want more berries and that summer feelin'
It's so wonderful and warm

[Pre-Chorus]
Breathe me in, breathe me out
I don't know if I could ever go without
I'm just thinking out loud
I don't know if I could ever go without

[Chorus]
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar

[Verse 2]
Strawberries on a summer evenin'
Baby, you're the end of June
I want your belly and that summer feelin'
Getting washed away in you

[Pre-Chorus]
Breathe me in, breathe me out
I don't know if I could ever go without

[Chorus]
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high

[Post-Chorus]
I just wanna taste it, I just wanna taste it
Watermelon sugar high

[Bridge]
Tastes like strawberries on a summer evenin'
And it sounds just like a song
I want your belly and that summer feelin'
I don't know if I could ever go without

[Chorus]
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high (Sugar)
Watermelon sugar high (Sugar)
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high

[Outro]
I just wanna taste it, I just wanna taste it (Woo)
Watermelon sugar high
I just wanna taste it, I just wanna taste it (Ooh)
Watermelon sugar high
Watermelon sugar

",0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,0.816,1e9oZCCiX42nJl0AcqriVo,spotify:track:1e9oZCCiX42nJl0AcqriVo,https://api.spotify.com/v1/tracks/1e9oZCCiX42nJl0AcqriVo,https://api.spotify.com/v1/audio-analysis/1e9oZCCiX42nJl0AcqriVo,174000,4,,,,,21,Harry Styles,13067797,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo,0,0,0,0,0,0,0,0,6KImCVD70vtIoJWnq6nGn3,5400103,"['dance pop', 'pop', 'post-teen pop']",88
1,Mean It,Lauv,https://genius.com/Lauv-and-lany-mean-it-lyrics,3GRSqlALWISqLeNncZMbpX,"

[Verse 1: Lauv]
Small talk, no conversation
That look makes me impatient
I can't tell what you're thinking
Please, tell me what you're thinking
Last night, we were more than fine
Just tell me if you changed your mind
If you changed your mind (Mind)

[Pre-Chorus: Lauv]
'Cause I'm all, I'm all in
I'm calling, no answer
Would you text me when you feel like?
When it feels right to you
But I'm all, I'm all in
I'm falling faster
But if you're looking at me with a heart of doubt

[Chorus: Lauv]
Don't kiss me right now
Don't tell me that you need me
Don't show up at my house
All caught up in your feelings
Don't run me 'round and 'round
Don't build me up just to let me down
Just to let me down, down, down (Hey)
Don't mess with my head
Don't tell me you're falling
With your feet still on the ledge
I'm all out of breath
Baby, don't run me 'round and 'round
Don't kiss me, no, don't kiss me right now
On your lips, just leave it
If you don't mean it

[Verse 2: Paul Klein]
Oh, yeah
You know you got me in the palm of your hand
But I love those hands
Oh, yeah
But you only let me hold you when he can't
Yeah, I don't understand

[Pre-Chorus: Paul Klein]
'Cause I'm all, I'm all in
I'm calling, no answer
Would you text me when you feel like?
When it feels right to you
But I'm all, I'm all in
I'm falling faster
But if you're looking at me with a heart of doubt

[Chorus: Paul Klein]
Don't kiss me right now
Don't tell me that you need me
Don't show up at my house
All caught up in your feelings
Don't run me 'round and 'round
Don't build me up just to let me down
Just to let me down, down, down (Hey)
Don't mess with my head
Don't tell me you're falling
With your feet still on the ledge
I'm all out of breath
Baby, don't run me 'round and 'round
Don't kiss me, no, don't kiss me right now
On your lips, just leave it
If you don't mean it

[Bridge: Paul Klein & Lauv]
Hurry home, let's never leave the house (But you don't mean it)
Let's stay in bed while all our friends go out (But you don't mean it)
Why you let those words come out of your mouth? (If you don't mean it)
You've been staring at me with a heart of doubt (Ah)

[Chorus: Lauv & Paul Klein]
Don't kiss me right now
Don't tell me that you need me
Don't show up at my house
All caught up in your feelings
Don't run me 'round and 'round
Don't build me up just to let me down
Just to let me down, down, down (Hey)
Don't mess with my head
Don't tell me you're falling
With your feet still on the ledge
I'm all out of breath
Baby, don't run me 'round and 'round
Don't kiss me, no, don't kiss me right now
On your lips, just leave it
If you don't mean it

",0.746,0.45,7,-8.543,1,0.0872,0.0407,0.0,0.172,0.336,95.998,0.45,3GRSqlALWISqLeNncZMbpX,spotify:track:3GRSqlALWISqLeNncZMbpX,https://api.spotify.com/v1/tracks/3GRSqlALWISqLeNncZMbpX,https://api.spotify.com/v1/audio-analysis/3GRSqlALWISqLeNncZMbpX,232853,4,,,,,27,Lauv,12015729,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,0,0,0,0,0,0,0,0,5JZ7CnR6gTvEMKX4g70Amv,1959296,['pop'],90
2,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,https://genius.com/Taylor-swift-lover-remix-lyrics,3i9UVldZOE0aD0JnyfAZZ0,"

[Verse 1: Taylor Swift]
We could leave the Christmas lights up 'til January
And this is our place, we make the rules
And there's a dazzling haze, a mysterious way about you, dear
Have I known you 20 seconds or 20 years?

[Chorus: Taylor Swift]
Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out, and take me home
You're my, my, my, my lover

[Verse 2: Shawn Mendes with Taylor Swift]
We could light a bunch of candles
And dance around the kitchen, baby
Pictures of when we were young would hang on the wall
We would sit on the stoop
I'll sing love songs to you when we're eighty
See, I finally got you now, honey, I won't let you fall

[Chorus: Taylor Swift & Shawn Mendes, Shawn Mendes]
Can I go where you go?
Can we always be this close?
Forever and ever, ah
Take me out, and take me home (Forever and ever)
You're my, my, my, my lover

[Bridge: Taylor Swift, Shawn Mendes & Both]
Ladies and gentlemen, will you please stand?
With every guitar string scar on my hand
I take this magnetic force of a man to be my lover
Look in my eyes, they will tell you the truth
The girl in my story has always been you
I'd go down with the Titanic, it's true, for you, lover
And you'll save all your dirtiest jokes for me
And at every table, I'll save you a seat, lover (Save you a seat)

[Chorus: Taylor Swift & Shawn Mendes, Shawn Mendes & Taylor Swift]
Can I go where you go? (Can I go where you go, baby?)
Can we always be this close?
Forever and ever, ah
Take me out, and take me home (Forever and ever)
You're my, my, my, my
Oh, you're my, my, my, my
Darling, you're my, my, my, my lover

",0.448,0.603,7,-7.176,1,0.064,0.433,0.0,0.0862,0.422,205.272,0.603,3i9UVldZOE0aD0JnyfAZZ0,spotify:track:3i9UVldZOE0aD0JnyfAZZ0,https://api.spotify.com/v1/tracks/3i9UVldZOE0aD0JnyfAZZ0,https://api.spotify.com/v1/audio-analysis/3i9UVldZOE0aD0JnyfAZZ0,221307,3,,,,,33,Taylor Swift,11458619,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,0,0,0,0,0,0,0,0,06HL4z0CvFAxyc27GXpf02,24694043,"['pop', 'post-teen pop']",95
3,Up All Night,Khalid,https://genius.com/Khalid-up-all-night-lyrics,1mpD5Q8IM32I4bF6eCpU74,"

[Verse 1]
Take me 'round the world and back again
As I'm searching for my soul out there
Oh, there's something that I'm wondering (Yeah)
Where I'm going when my story ends

[Pre-Chorus]
Doesn't even matter anyway, no, we're
Focused and I'm coping with the pain, yeah, we're
Only getting older by the day, yeah, we're
Only getting older (Only getting older)
Doesn't even matter anyway, no, we're
Focused and I'm coping with the pain, yeah, we're
Only getting older by the day, yeah, we're
Only getting older (On my mind all the time)

[Chorus]
Keeps me up all night
Keeps me
Get these thoughts that keep me up all night
Keeps me
Keeps me up all night
Keeps me
Get these thoughts that keep me up all night
Keeps me

[Verse 2]
So I'ma light it up, I'm gettin high (So high)
Ask me how I am, I'm getting by (Getting by by the minute)
But I'm thankful that I'm still alive (Alive)
'Cause there's so much more I'm left to find

[Pre-Chorus]
Doesn't even matter anyway, no, we're
Focused and I'm coping with the pain, yeah, we're
Only getting older by the day, yeah, we're
Only getting older (Only getting older)
Doesn't even matter anyway, no, we're
Focused and I'm coping with the pain, yeah, we're
Only getting older by the day, yeah, we're
Only getting older (On my mind all the time)

[Chorus]
Keeps me up all night
Keeps me
Get these thoughts that keep me up all night
Keeps me up (Up all night)
Keeps me up all night
Keeps me (Up)
Get these thoughts that keep me up all night
Keeps me up (Up all night)

[Bridge]
On my mind all the time
Keepin' me up all night
On my mind all the time
Keepin' me up all night
On my mind all the time, ah

[Outro]
Keeps me up all night
Keeps me

",0.665,0.712,1,-7.536,1,0.0527,0.00103,0.00342,0.102,0.669,93.989,0.712,1mpD5Q8IM32I4bF6eCpU74,spotify:track:1mpD5Q8IM32I4bF6eCpU74,https://api.spotify.com/v1/tracks/1mpD5Q8IM32I4bF6eCpU74,https://api.spotify.com/v1/audio-analysis/1mpD5Q8IM32I4bF6eCpU74,157220,4,,,,,51,Khalid,8804919,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,0,0,0,0,0,0,0,0,6LuN9FCkKOj5PcnpouEgny,9452107,"['alternative r&b', 'pop']",96
4,Falling,Trevor Daniel,https://genius.com/Trevor-daniel-falling-lyrics,4TnjEaWOeW0eKTKIEvJyCa,"

[Chorus]
My last made me feel like I would never try again
But when I saw you, I felt something I never felt
Come closer, I'll give you all my love
If you treat me right, baby, I'll give you everything
My last made me feel like I would never try again
But when I saw you, I felt something I never felt
Come closer, I'll give you all my love
If you treat me right, baby, I'll give you everything

[Verse]
Talk to me, I need to hear you need me like I need ya
Fall for me, I wanna know you feel how I feel for you, love
Before you, baby, I was numb, drown the pain by pouring up
Speeding fast on the run, never want to get caught up
Now you the one that I'm calling
Swore that I'd never forget, don't think I'm just talking
I think I might go all in, no exceptions, girl, I need ya

[Bridge]
Feeling like I'm out of my mind, 'cause I can't get enough
Only one that I give my time, 'cause I got time for ya
Might make an exception for ya, 'cause I been feeling ya
Think I might be out of my mind, I think that you're the one

[Chorus]
My last made me feel like I would never try again
But when I saw you, I felt something I never felt
Come closer, I'll give you all my love
If you treat me right, baby, I'll give you everything
My last made me feel like I would never try again
But when I saw you, I felt something I never felt
Come closer, I'll give you all my love
If you treat me right, baby, I'll give you everything

[Outro]
I'll never give my all again
'Cause I'm sick of falling down
When I open up and give my trust
They find a way to break it down
Tear me up inside, and you break me down

",0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,0.43,4TnjEaWOeW0eKTKIEvJyCa,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/tracks/4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/audio-analysis/4TnjEaWOeW0eKTKIEvJyCa,159382,4,,,,,64,Trevor Daniel,7610731,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,0,0,0,0,0,0,0,0,7uaIm6Pw7xplS8Dy06V6pT,72334,"['alternative r&b', 'melodic rap']",80
5,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,https://genius.com/Marshmello-yungblud-and-blackbear-tongue-tied-lyrics,7jzldCBnJjpJM3epzJ85KE,"

[Intro: YUNGBLUD]
I feel my life's been so tongue-tied
I'm trapped outside, inside my mind
If you feel like, that you're tongue-tied
Then we're tongue-tied together

[Verse 1: YUNGBLUD]
Every morning, I ride on a carousel
To the sides of my mind that I cannot help
Had to die in Heaven just to get to Hell
Fell when the lights went out now
My real friends act like they don't know me
This headache's giving me a nosebleed
My silence is killing me slowly
I can't keep tuning it out and

[Pre-Chorus: YUNGBLUD]
I been suffering
Been makin' friends with all my sins
I need savin', I need savin'
You won't save me ever again
I'm feeling counterfeit
Been rolling silence 'round my lips
I need savin', I need savin'
You won't save me ever again

[Chorus: YUNGBLUD]
'Cause I feel my life's been so tongue-tied
I'm trapped outside, inside my mind
If you feel like, that you're tongue-tied
Then we're tongue-tied together
So can you even hear me now?

[Post-Chorus: YUNGBLUD & blackbear]
Tongue-tied together
Tongue-tied together
Tongue-tied together
Yeah yeah, uh-uh

[Verse 2: blackbear]
You done changed, you done changed, you done switched up for sure
You ain't lose me in the summer, you lost me at ""Hello""
Anytime you see me smilin', it was probably for show
All the memories are blurry, so I let 'em burn slow
I ain't seen you in a minute, where did all the time go?
You was outta pocket when you told me ""Die slow""
I was going through the shits, I kept it down low
Tongue-tied, tongue-tied, what we had was all lies

[Pre-Chorus: blackbear]
People change, people change, people switch up
It's okay, you can't save me ever again
People change, people change, people switch up
It's okay, you can't save me

[Chorus: YUNGBLUD, blackbear, both]
'Cause I feel my life's been so tongue-tied
I'm trapped outside, inside my mind (Inside my mind)
If you feel like (You feel like), that you're tongue-tied (Uh)
Then we're tongue-tied together
So can you even hear me now?

[Post-Chorus: YUNGBLUD]
Tongue-tied together
Tongue-tied together
So can you even hear me now?
Tongue-tied together
Tongue-tied together (Oh)

",0.628,0.821,1,-2.721,0,0.0525,0.0208,0.0,0.426,0.465,93.001,0.821,7jzldCBnJjpJM3epzJ85KE,spotify:track:7jzldCBnJjpJM3epzJ85KE,https://api.spotify.com/v1/tracks/7jzldCBnJjpJM3epzJ85KE,https://api.spotify.com/v1/audio-analysis/7jzldCBnJjpJM3epzJ85KE,186024,4,,,,,72,Marshmello,7250495,https://open.spotify.com/track/7jzldCBnJjpJM3epzJ85KE,0,0,0,0,0,0,0,0,64KEffDW9EtZ1y2vBYgq8T,18720303,"['brostep', 'progressive electro house']",90
6,Jerry Sprunger (with T-Pain),Tory Lanez,https://genius.com/Tory-lanez-and-t-pain-jerry-sprunger-lyrics,6JsHgIkMYHcbNtKfsal2Mg,"

[Intro: T Pain]
Do, you do
You do, you do
You do, you do
You do

[Verse 1: Tory Lanez]
She used to work at King of Diamonds on a Monday
Only hit the club on Saturday and Sunday
I used to pull up every week, you should've seen her
The way she did it, nobody could do it cleaner
I seen her in the suit for my birthday
And I can tell you the reason these niggas thirsty
Lil' mama getting it in all on her worst day
Lil' mama getting it in, she fit the school and the gym into her workday
I'm sprung, she got me doing the dishes
Held a nigga down when the clip was to an extension
You so bad, yeah, you so vicious
I'm so glad that you not his chick
She wanted a nigga and got the right one
I wanted to bag, she lookin' like fun
Pull up on me, baby, and spend the night, ah
They sayin' I'm sprung, they right

[Chorus: Tory Lanez & T-Pain]
I can't let you go without me
Ayy, shawty got me (Ooh)
Wait, now lil' mama tryna lock me (Ooh)
It can't be nobody if it's not me (Ooh)
I'm in the same spot that you dropped me
I can't let you go without me
Ayy, shawty got me
Wait, now lil' mama tryna lock me (Ooh)
It can't be nobody if it's not me (Ooh)
I'm in the same spot that you dropped me
You, you, do, do, do
You sprung me, baby, I sprung you too
Too, too, too, too, too
You undone me, baby, I'ma undo
You, you, do, do, do
I like a bust it baby, I'ma buss' you too
You do too, too, too
I'm sprung and it's true, 'cause

[Verse 2: T-Pain]
Ooh, you did it, ooh, did it, you
I already know what it takes to get into you
Ooh, bring it back
She put that pussy on me, she know how to make it clap, make it clap
I make it clap, yo, I make it clap, yo
I have them haters asking, ""How you up in that Rolls?""
And how them umbrellas coming out of locked doors?
How the front doors open up like the back doors?
I'll be like, ""You ain't rich enough
You ain't got my bitch in a Lamborghini, bikini, on the beach sittin' up""
Now you bitching up, now your bitch with us
She said, ""That champagne nasty,"" spit it up
Tory took one line and made a hot song
Now the chicks want tapes, I am not gone
But it's been five times, you ain't catch on
Maybe on the next song

[Chorus: Tory Lanez & T-Pain]
I can't let you go without me
Ayy, shawty got me (Ooh)
Wait, now lil' mama tryna lock me (Ooh)
It can't be nobody if it's not me (Ooh)
I'm in the same spot that you dropped me
I can't let you go without me
Ayy, shawty got me
Wait, now lil' mama tryna lock me (Ooh)
It can't be nobody if it's not me (Ooh)
I'm in the same spot that you dropped me
You, you, do, do, do
You sprung me, baby, I sprung you too
Too, too, too, too, too
You undone me, baby, I'ma undo
You, you, do, do, do
I like a bust it baby, I'ma buss' you too
You do too, too, too
I'm sprung and it's true, 'cause

[Bridge: T-Pain]
I'm sprung, dawg she got me
Got me doing things I'll never do
If you ain't been, I'm telling you
I'm sprung, dawg she got me
Got me doing things I'll never do
If you ain't been, I'm telling you

[Outro: Tory Lanez]
You're so sexy to me
Sexy to me
Give a damn who your ex be
I be flyin' to you jet speed
You sexy
Make me wanna get messy
Make me wanna give it to you all day, all night
In the broad light, give a damn who catch me
You sexy
Sprung, girl, you get me
Got me doing things I never do
And it's true

",0.76,0.746,0,-5.331,0,0.227,0.137,0.0,0.0905,0.449,100.011,0.746,6JsHgIkMYHcbNtKfsal2Mg,spotify:track:6JsHgIkMYHcbNtKfsal2Mg,https://api.spotify.com/v1/tracks/6JsHgIkMYHcbNtKfsal2Mg,https://api.spotify.com/v1/audio-analysis/6JsHgIkMYHcbNtKfsal2Mg,233546,4,,,,,85,Tory Lanez,6740180,https://open.spotify.com/track/6JsHgIkMYHcbNtKfsal2Mg,0,0,0,0,0,0,0,0,2jku7tDXc6XoB6MO2hFuqg,2613851,"['canadian hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap']",88
7,Reply (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,https://genius.com/A-boogie-wit-da-hoodie-reply-lyrics,364spZLB5bhNlnPrzvUB41,"

[Verse 1: Lil Uzi Vert]
Woah, if I write (It's JoeFromYO)
If I write you, girl, will you reply? (Go Grizz)
Follow my commands, come on, girl, comply
You only want me 'cause my life's televised
And I can see all them lies in your eyes
But I'm no different, selling dreams for tonight
Just so I could have my way, rubbin' on your thighs
In the morning, go back home because I do not have no ties

[Chorus: A Boogie Wit Da Hoodie]
Yeah, but if I (But if I)
If I write you, girl, tell me, would you reply? (Would you reply?)
You know I used to be a thief up in the night (Yeah, yeah)
And you don't want that type of guy in your life
But what if I put on a disguise for the night? (Yeah, yeah)
What if I was to put my life up on the line? (On the line)
Don't pay no mind to them bitches, like a ticket, you're fine
Gave you a shoulder to lean on for when you cry

[Verse 2: Lil Uzi Vert]
Uh, cry for me, for me now
No one can slow me down
I stay with forty rounds
Hit her off a Perc', gave her forty rounds
Woah, I'm far from finished, I'm not done
I keep grabbing on her waist, she tryna run
Put my foot into it 'til she numb
Every time she moan, she be like, ""Uh""
Uh, she switched up for the same dollar
She don't know the rules of the game 'cause she ain't have no father
Me and Artist, yeah, we know some of the same scholars
Me and Artist go home and we got the same problems
And we keep arguing about them same bodies
That's because you is my girl, you is my main body
Take you serious, you know I will not play about it
And if you wanna get better, baby, just pray about it

[Bridge: A Boogie Wit da Hoodie]
I play about it, but don't you go be fake about it
Just play your part and I won't ever complain about it
Should have called you beautiful more before you changed your body
Then you did your body, girl, yeah, you really changed about it

[Verse 3: Lil Uzi Vert]
It's couples out here that's not eatin', we got plain scallops
And clam chowder, you gon' be raising my damn toddler
And I can't lie, baby girl, it ain't no way around you
Ain't nothin' to say about it, got niggas pull up and spray about it
I'm gone

[Verse 4: A Boogie Wit Da Hoodie]
Yeah, and when I say, ""I'm gone""
Don't just say it right after me like it's some sing along shit
You got mad when I said you could bring your friend along, yeah
I'm gon' fuck you to this, make this one your favorite song
And you even look sexy with no makeup on
And you ain't gotta ask me, girl, just take it off
I knew that you was nasty the way you take it raw
I just hope that you don't think I'm crazy, girl

[Chorus: A Boogie Wit da Hoodie & Lil Uzi Vert]
If I
Woah, if I write
If I write you, girl, tell me, would you reply?
You know I used to be a thief up in the night
You only want me 'cause my life's televised
But what if I put on a disguise for the night?
And I can see all the lies in your eyes (Yeah, yeah)
You don't want this type of guy, right
In the morning, go back home because I do not have no ties (Yeah)

[Outro: Lil Uzi Vert & A Boogie Wit da Hoodie]
Woah, if I write
If I write you, girl, tell me would you reply?
Yeah, if I write you, can you reply?

",0.512,0.623,9,-6.553,0,0.0808,0.0187,0.0,0.13,0.219,112.15,0.623,364spZLB5bhNlnPrzvUB41,spotify:track:364spZLB5bhNlnPrzvUB41,https://api.spotify.com/v1/tracks/364spZLB5bhNlnPrzvUB41,https://api.spotify.com/v1/audio-analysis/364spZLB5bhNlnPrzvUB41,183589,5,,,,,86,A Boogie Wit da Hoodie,6725748,https://open.spotify.com/track/364spZLB5bhNlnPrzvUB41,0,0,0,0,0,0,0,0,31W5EY0aAly4Qieq6OFu6I,3698466,"['melodic rap', 'pop rap', 'rap', 'trap']",91
8,Living Proof,Camila Cabello,https://genius.com/Camila-cabello-living-proof-lyrics,1jg9clsGCDqOumfS0X5xm9,"

[Intro]
Ah-ah-ah-ah-ah-ah, I promise
Ooh

[Verse 1]
Tell me something, but say it with your hands, slow
When you touch me, paint me like a Van Gogh (Oh)
I wanna study every inch of you
'Til you trust me to make the angels come through

[Pre-Chorus]
Like a choir singing ""Hallelujah""
When my body's crashin' right into you
When we align, ooh yeah
Do you feel me?
Can you feel me?
'Cause I can't breathe

[Chorus]
Where did you come from, baby?
And were you sent to save me?
Ooh, there's God in every move
Ooh, and you're the living proof (Oh)
The way your hands can't shake me
Soft to the touch like, baby
Ooh, there's God in every move
Ooh, and you're the living proof (Oh)

[Verse 2]
Countin' freckles, as they run down your spine
Show your demons, and I might show you mine
One at a time, yeah, yeah, what are you hidin'?
What a design, yeah, yeah, I wanna dive in
What a divine moment
Can you feel me? (Oh)
Can you feel me? (Oh)
'Cause I can't breathe

[Chorus]
Where did you come from, baby?
And were you sent to save me?
Ooh, there's God in every move
Ooh, and you're the living proof (Oh)
The way your hands can't shake me
Soft to the touch like, baby
Ooh, there's God in every move
Ooh, and you're the living proof (Oh)

[Bridge]
Like a choir singing ""Hallelujah""
Ooh yeah, choir singing ""Hallelujah""
Like a choir singing ""Hallelujah""
Hallelujah, hallelujah
Choir singing ""Hallelujah""
Body's crashin' right into you (Oh)
Do you feel me?
Can you feel me?
'Cause I can't breathe (Oh)

[Chorus]
Where did you come from, baby?
And were you sent to save me? (Oh)
Ooh, there's God in every move
Ooh, and you're the living proof (Oh)
The way your hands can't shake me
Soft to the touch like, baby
Ooh, there's God in every move (Ooh)
Ooh, and you're the living proof (Oh)

[Outro]
Like a choir singing ""Hallelujah"" (Baby, babe)
Ooh yeah, choir singing ""Hallelujah"" (Baby, babe)
Like a choir singing ""Hallelujah,"" (Ooh) ""Hallelujah"" (Ooh)
And you're the living proof (Oh)

",0.735,0.514,7,-5.464,1,0.082,0.109,0.0,0.359,0.517,77.566,0.514,1jg9clsGCDqOumfS0X5xm9,spotify:track:1jg9clsGCDqOumfS0X5xm9,https://api.spotify.com/v1/tracks/1jg9clsGCDqOumfS0X5xm9,https://api.spotify.com/v1/audio-analysis/1jg9clsGCDqOumfS0X5xm9,194440,4,,,,,101,Camila Cabello,6163667,https://open.spotify.com/track/1jg9clsGCDqOumfS0X5xm9,0,0,0,0,0,0,0,0,4nDoRrQiYLoBzwC5BhVJzF,13281202,"['dance pop', 'pop', 'post-teen pop']",94
9,Hola - Remix,Dalex,https://genius.com/Dalex-lenny-tavarez-and-chencho-corleone-hola-remix-lyrics,5stPVcRqb4qixbafP9e8lt,"

[Letra de ""Hola (Remix)"" ft. Juhn & Dímelo Flow]

[Intro: Lenny Tavárez]
Eh
Esa nena cuando baila me vuelve loco y yo pago ese show
E' callaíta', pero la motiva el dembow

[Pre-Coro: Lenny Tavárez, Chencho Corleone, Ambos]
Y si la llego a besa-a-a-a-ar
Yo sé que tú te vas a estremece-e-e-e-er (Okay)
Después me pedirás un poco má-á-á-á-ás
Haré que se te erice to'a la pie-e-e-e-el
(This is the remix)

[Coro: Dalex, Dalex & Chencho Corleone, Lenny Tavárez, Chencho Corleone]
Hola (Hola), no sé si te acuerdas de mí (Te acuerdas de mí)
Hace tiempo no te veo por ahí
Soy yo (Soy yo), el que siempre le hablaba de ti (Le hablaba de ti)
A tu mejor amiga, pa' que me tire la buena (Buena)
Hola (Hola), no sé si te acuerdas de mí (Uh-yeh)
Hace tiempo no te veo por ahí (Okay; uh-yeh)
Soy yo (Soy yo), el que siempre le hablaba de ti (-ba de ti)
A tu mejor amiga pa' que me tire la buena (Buena; uh-yeh)

[Verso 1: Chencho Corleone]
(So?; jeje)
Y siempre me quedé (Ah)
Con las gana' de treparte y subirte (Ah)
La falda quitar, ponerte, yo soy y seré (Ah)
De tu cuerpo admirante
Y nunca se me van a ir las gana' que tengo de darte (Ah)
Y chica ven (Ey)
Bellaqueo en la pared siempre capté
Que conmigo te atreve', quiero saber
Si te mueves como bailas, si te mueve' como e'
Lo repetimo' cada vez

[Verso 2: Lenny Tavárez]
Tú me tiene' juqueao', ao'-ao'
Activao', ao'-ao'
Tú me conociste arrebatao', ao'-ao'
La noche prendía' y los ojo' apagao'
Igual sigo confiaao'

[Pre-Coro: Lenny Tavárez Chencho Corleone, Ambos]
Que si te llego a besa-a-a-a-ar
Yo sé que tú te vas a estremece-e-e-e-er
Después me pedirás un poco má-á-á-á-ás
Haré que se te erice to'a la pie-e-e-e-el

[Coro: Dalex, Dalex & Chencho Corleone, Lenny Tavárez, Chencho Corleone]
(Yeih)
Hola (Hola), no sé si te acuerdas de mí (Te acuerdas de mí; ¡sou!)
Hace tiempo no te veo por ahí (Por ahí; okay)
Soy yo (Soy yo), el que siempre le hablaba de ti (Le hablaba de ti)
A tu mejor amiga pa' que me tire la buena

[Verso 3: Juhn]
(Me dicen Juhn El All Star, baby)
¿Quihubo, baby? (¡Wuh!)
Hace tiempo no te veía (Veía)
Yo soy el que tu amiga decía
El que le contaba las cosas' que te haría (Ay)
Puras suciería' (¡Wuh!)
Discúlpame que sea tan grosero (-sero)
Es que de verte yo me acelero (Acelero)
Si tengo que esperarte, yo espero (-pero; yah)
Por ti la cuenta la dejo en cero (Jajaja)
Y es que una baby como tú no se ve to' los día'
Rica ya tú te ve' con ropa y te quitaría
El panticito con la boca y de to' te haría
Si en la cama conmigo te enredaría'
(Oye, ma'; oye, ma')

[Puente: Dalex]
De tu cuerpo soy fanático, oh-woh (Oh-woh)
Y si te pruebo puede que me vuelva adicto
De tu cuerpo soy fanático, oh-woh, oh (Oh-woh, oh)
Y si te pruebo puede que me vuelva adicto (Yeih)

[Coro: Dalex & Chencho Corleone]
Hola (Hola), no sé si te acuerdas de mí (Uh-yeh; ¡sou!)
Hace tiempo no te veo por ahí (Okay; uh-yeh)
Soy yo (Soy yo), el que siempre le hablaba de ti (-ba de ti)
A tu mejor amiga pa' que me tire la buena

[Outro: Dalex, Chencho Corleone, Juhn]
So? (Uh-yeh)
Yeah-yeah, yeah-yeah (Okay)
Dalex
Me dicen Juhn El All Star, baby
Chencho Corleone
Gaby Morales (Uh-yeh)
Rich Music
Dímelo Flow (Yeih)
Magnífico (Yeah-yeah)
(Yeah-yeah, eh)

",0.654,0.672,0,-5.98,0,0.311,0.471,0.0,0.0781,0.343,181.857,0.672,5stPVcRqb4qixbafP9e8lt,spotify:track:5stPVcRqb4qixbafP9e8lt,https://api.spotify.com/v1/tracks/5stPVcRqb4qixbafP9e8lt,https://api.spotify.com/v1/audio-analysis/5stPVcRqb4qixbafP9e8lt,249520,4,,,,,142,Dalex,5239407,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,0,0,0,0,0,0,0,0,0KPX4Ucy9dk82uj4GpKesn,649409,"['latin', 'r&b en espanol']",91
